nh,chn_start,chn_end,length,structure,roughness_limit,rut_limit,crack_limit,ravelling_limit,roughness,rut_depth,crack_area,area,start_lat,start_long,frame,timestamp
NH148N,291200,291300,100,,2400,5,5,1,,,,,Under Maintenance,Under Maintenance,0,0
NH148N,291100,291200,100,,2400,5,5,1,2785.0,3.3,0.018,0.0,25.96971,76.24869,20,4000
NH148N,291000,291100,100,,2400,5,5,1,1797.0,3.5,0.373,0.002,25.97057,76.24899,40,8000
NH148N,290900,291000,100,,2400,5,5,1,1037.0,3.8,0.0,0.0,25.97143,76.2493,60,12000
NH148N,290800,290900,100,,2400,5,5,1,1111.0,3.6,0.0,0.0,25.97229,76.24961,80,16000
NH148N,290700,290800,100,,2400,5,5,1,1278.0,4.3,0.0,0.0,25.97314,76.24993,100,20000
NH148N,290600,290700,100,,2400,5,5,1,1052.0,4.6,0.0,0.0,25.97399,76.25025,120,24000
NH148N,290500,290600,100,,2400,5,5,1,911.0,4.7,0.001,0.0,25.97484,76.25058,140,28000
NH148N,290400,290500,100,,2400,5,5,1,911.0,4.5,0.0,0.0,25.97569,76.25091,160,32000
NH148N,290300,290400,100,,2400,5,5,1,933.0,4.9,0.002,0.011,25.97654,76.25125,180,36000
NH148N,290200,290300,100,SVUP,2400,5,5,1,1278.0,4.4,0.001,0.029,25.97739,76.2516,200,40000
NH148N,290100,290200,100,,2400,5,5,1,1431.0,4.8,0.002,0.0,25.97823,76.25196,220,44000
NH148N,290000,290100,100,,2400,5,5,1,1172.0,4.3,0.005,0.0,25.97907,76.25232,240,48000
NH148N,289900,290000,100,,2400,5,5,1,1308.0,4.5,0.005,0.0,25.97991,76.25268,260,52000
NH148N,289800,289900,100,,2400,5,5,1,1074.0,4.8,0.004,0.002,25.98075,76.25305,280,56000
NH148N,289700,289800,100,Minor Bridge,2400,5,5,1,1617.0,4.1,0.004,0.015,25.98158,76.25342,300,60000
NH148N,289600,289700,100,,2400,5,5,1,1570.0,4.4,0.001,0.097,25.98242,76.25379,320,64000
NH148N,289500,289600,100,Culvert,2400,5,5,1,1869.0,3.8,0.002,0.0,25.98326,76.25416,340,68000
NH148N,289400,289500,100,,2400,5,5,1,1821.0,3.9,0.003,0.0,25.9841,76.25453,360,72000
NH148N,289300,289400,100,,2400,5,5,1,1821.0,3.2,0.005,0.0,25.98494,76.2549,380,76000
NH148N,289200,289300,100,,2400,5,5,1,1594.0,3.3,0.0,0.0,25.98577,76.25526,400,80000
NH148N,289100,289200,100,SVUP,2400,5,5,1,2375.0,3.6,0.003,0.08,25.98661,76.25563,420,84000
NH148N,289000,289100,100,,2400,5,5,1,1664.0,3.6,0.001,0.0,25.98745,76.256,440,88000
NH148N,288900,289000,100,,2400,5,5,1,1562.0,3.2,0.003,0.0,25.98829,76.25637,460,92000
NH148N,288800,288900,100,,2400,5,5,1,,,,,Under Maintenance,Under Maintenance,480,96000
NH148N,288700,288800,100,,2400,5,5,1,,,,,Under Maintenance,Under Maintenance,500,100000
NH148N,288600,288700,100,,2400,5,5,1,1308.0,3.1,0.002,0.024,25.99081,76.25748,520,104000
NH148N,288500,288600,100,,2400,5,5,1,1187.0,3.5,0.002,0.0,25.99165,76.25784,540,108000
NH148N,288400,288500,100,SVUP,2400,5,5,1,1774.0,3.9,0.001,0.006,25.99249,76.25818,560,112000
NH148N,288300,288400,100,,2400,5,5,1,1734.0,3.7,0.003,0.0,25.99334,76.25852,580,116000
NH148N,288200,288300,100,,2400,5,5,1,1285.0,3.8,0.004,0.0,25.9942,76.25884,600,120000
NH148N,288100,288200,100,,2400,5,5,1,1423.0,4.3,0.004,0.0,25.99505,76.25915,620,124000
NH148N,288000,288100,100,Culvert,2400,5,5,1,985.0,4.3,0.003,0.0,25.99591,76.25946,640,128000
NH148N,287900,288000,100,,2400,5,5,1,1633.0,4.4,0.004,0.0,25.99678,76.25975,660,132000
NH148N,287800,287900,100,,2400,5,5,1,1285.0,3.1,0.003,0.0,25.99764,76.26002,680,136000
NH148N,287700,287800,100,Major Bridge,2400,5,5,1,2181.0,3.1,0.0,0.0,25.99851,76.26028,700,140000
NH148N,287600,287700,100,LVUP,2400,5,5,1,2245.0,4.4,0.0,0.026,25.99938,76.26054,720,144000
NH148N,287500,287600,100,,2400,5,5,1,2277.0,5.0,0.001,0.039,26.00026,76.26078,740,148000
NH148N,287400,287500,100,,2400,5,5,1,1916.0,4.2,0.0,0.0,26.00114,76.26101,760,152000
NH148N,287300,287400,100,,2400,5,5,1,2383.0,3.4,0.001,0.0,26.00202,76.26122,780,156000
NH148N,287200,287300,100,,2400,5,5,1,1813.0,5.1,0.003,0.0,26.0029,76.26143,800,160000
NH148N,287100,287200,100,,2400,5,5,1,1877.0,4.7,0.001,0.0,26.00379,76.26162,820,164000
NH148N,287000,287100,100,Culvert,2400,5,5,1,1916.0,4.7,0.001,0.0,26.00467,76.2618,840,168000
NH148N,286900,287000,100,,2400,5,5,1,1664.0,4.8,0.001,0.0,26.00556,76.26197,860,172000
NH148N,286800,286900,100,,2400,5,5,1,2116.0,3.9,0.0,0.0,26.00645,76.26212,880,176000
