nh,chn_start,chn_end,length,structure,roughness_limit,rut_limit,crack_limit,ravelling_limit,roughness,rut_depth,crack_area,area,start_lat,start_long,frame,timestamp
NH148N,247310,247400,90,,2400,5,5,1,1853.0,3.8,0.004,0.011,26.36111,76.25052,0,0
NH148N,247500,247600,100,,2400,5,5,1,1262.0,4.4,0.001,0.0,26.35942,76.25022,38,7600
NH148N,247600,247700,100,,2400,5,5,1,867.0,4.6,0.003,0.009,26.35853,76.25006,58,11600
NH148N,247700,247800,100,,2400,5,5,1,1052.0,4.9,0.012,0.018,26.35764,76.24989,78,15600
NH148N,247800,247900,100,Culvert,2400,5,5,1,1134.0,4.5,0.016,0.038,26.35676,76.24973,98,19600
NH148N,247900,248000,100,,2400,5,5,1,845.0,4.9,0.001,0.0,26.35587,76.24957,118,23600
NH148N,248000,248100,100,,2400,5,5,1,970.0,4.9,0.013,0.0,26.35498,76.24941,138,27600
NH148N,248100,248200,100,,2400,5,5,1,1066.0,5.1,0.006,0.0,26.35409,76.24924,158,31600
NH148N,248200,248300,100,SVUP,2400,5,5,1,1059.0,4.5,0.002,0.011,26.3532,76.24908,178,35600
NH148N,248300,248400,100,,2400,5,5,1,977.0,4.4,0.002,0.0,26.3523,76.24892,198,39600
NH148N,248400,248500,100,Culvert,2400,5,5,1,1081.0,4.6,0.008,0.0,26.35141,76.24876,218,43600
NH148N,248500,248600,100,,2400,5,5,1,644.0,5.1,0.004,0.053,26.35052,76.2486,238,47600
NH148N,248600,248700,100,,2400,5,5,1,737.0,4.5,0.001,0.0,26.34963,76.24843,258,51600
NH148N,248700,248800,100,,2400,5,5,1,852.0,4.6,0.0,0.037,26.34874,76.24827,278,55600
NH148N,248800,248900,100,,2400,5,5,1,845.0,3.7,0.005,0.021,26.34785,76.24811,298,59600
NH148N,248900,249000,100,SVUP,2400,5,5,1,896.0,4.9,0.009,0.018,26.34696,76.24795,318,63600
NH148N,249000,249100,100,,2400,5,5,1,867.0,4.9,0.009,0.065,26.34607,76.24779,338,67600
NH148N,249100,249200,100,,2400,5,5,1,802.0,5.0,0.004,0.0,26.34518,76.24762,358,71600
NH148N,249200,249300,100,,2400,5,5,1,787.0,4.9,0.009,0.012,26.34429,76.24746,378,75600
NH148N,249300,249400,100,,2400,5,5,1,882.0,4.9,0.008,0.0,26.3434,76.2473,398,79600
NH148N,249400,249500,100,Culvert,2400,5,5,1,963.0,4.1,0.003,0.0,26.34251,76.24713,418,83600
NH148N,249500,249600,100,,2400,5,5,1,852.0,4.8,0.016,0.039,26.34162,76.24697,438,87600
NH148N,249600,249700,100,SVUP,2400,5,5,1,1431.0,4.2,0.009,0.034,26.34073,76.24681,458,91600
NH148N,249700,249800,100,Culvert,2400,5,5,1,1648.0,4.1,0.027,0.0,26.33984,76.24665,478,95600
NH148N,249800,249900,100,Minor Bridge,2400,5,5,1,1232.0,4.5,0.003,0.0,26.33895,76.24649,498,99600
NH148N,249900,250000,100,,2400,5,5,1,1892.0,5.0,0.002,0.0,26.33806,76.24632,518,103600
NH148N,250000,250100,100,,2400,5,5,1,940.0,4.9,0.01,0.0,26.33717,76.24616,538,107600
NH148N,250100,250200,100,,2400,5,5,1,1104.0,4.7,0.007,0.0,26.33628,76.246,558,111600
NH148N,250200,250300,100,,2400,5,5,1,1029.0,3.6,0.003,0.0,26.33539,76.24584,578,115600
NH148N,250300,250400,100,Culvert,2400,5,5,1,992.0,4.2,0.01,0.0,26.3345,76.24568,598,119600
NH148N,250400,250500,100,,2400,5,5,1,1126.0,4.7,0.018,0.0,26.33361,76.24551,618,123600
NH148N,250500,250600,100,VUP,2400,5,5,1,1270.0,4.3,0.059,0.0,26.33272,76.24535,638,127600
NH148N,250600,250700,100,,2400,5,5,1,1308.0,5.0,0.038,0.006,26.33183,76.24519,658,131600
NH148N,250700,250800,100,,2400,5,5,1,1293.0,5.1,0.85,0.0,26.33094,76.24503,678,135600
NH148N,250800,250900,100,,2400,5,5,1,1727.0,5.0,0.046,0.0,26.33005,76.24486,698,139600
NH148N,250900,251000,100,,2400,5,5,1,1664.0,5.2,0.024,0.0,26.32916,76.2447,718,143600
NH148N,251000,251100,100,Culvert,2400,5,5,1,1861.0,5.2,0.005,0.007,26.32826,76.24454,738,147600
NH148N,251100,251200,100,,2400,5,5,1,1052.0,4.5,0.012,0.0,26.32737,76.24438,758,151600
NH148N,251200,251300,100,,2400,5,5,1,1029.0,5.1,0.01,0.0,26.32648,76.24422,778,155600
NH148N,251300,251400,100,,2400,5,5,1,1052.0,5.0,0.001,0.0,26.32559,76.24405,798,159600
NH148N,251400,251500,100,,2400,5,5,1,1187.0,4.6,0.004,0.0,26.32471,76.24389,818,163600
NH148N,251500,251600,100,,2400,5,5,1,2302.0,3.3,0.003,0.018,26.32381,76.24373,838,167600
NH148N,251600,251700,100,SVUP,2400,5,5,1,1821.0,3.8,0.073,0.065,26.32292,76.24357,858,171600
NH148N,251700,251800,100,,2400,5,5,1,1014.0,4.8,0.004,0.0,26.32203,76.2434,878,175600
NH148N,251800,251900,100,,2400,5,5,1,1217.0,5.0,0.006,0.0,26.32114,76.24324,898,179600
NH148N,251900,252000,100,,2400,5,5,1,1066.0,4.9,0.008,0.0,26.32026,76.24308,918,183600
NH148N,252000,252100,100,,2400,5,5,1,1037.0,4.9,0.004,0.0,26.31936,76.24292,938,187600
NH148N,252100,252200,100,SVUP,2400,5,5,1,1861.0,4.6,0.005,0.0,26.31847,76.24276,958,191600
NH148N,252200,252300,100,,2400,5,5,1,1948.0,4.1,0.001,0.019,26.31758,76.24259,978,195600
NH148N,252300,252400,100,Minor Bridge,2400,5,5,1,1695.0,2.1,0.008,0.008,26.31669,76.24243,998,199600
NH148N,252400,252500,100,,2400,5,5,1,1385.0,4.6,0.002,0.0,26.3158,76.24227,1018,203600
NH148N,252500,252600,100,Culvert,2400,5,5,1,1782.0,3.1,0.003,0.0,26.31492,76.24211,1038,207600
